zipcode,rate
85003,150
85004,150
85006,150
85007,150
85008,150
85009,150
85012,150
85013,150
85014,150
85015,150
85016,150
85018,150
85021,150
85022,150
85023,150
85029,150
85031,150
85032,150
85034,150
85040,150
85042,150
85043,150
85044,150
85045,150
85281,150
85282,150
85283,150
85284,150
85287,150
85138,175
85139,175
85140,175
85142,175
85143,175
86401,750
86402,705
86409,745
85250,150
85251,150
85254,150
85255,150
85256,150
85257,150
85258,150
85259,150
85260,150
85301,175
85302,175
85303,175
85304,175
85305,175
85306,175
85307,175
85308,175
85309,175
85310,175
85253,175
85017,150
85019,150
85020,150
85024,150
85028,150
85033,150
85035,150
85039,150
85041,150
85122,175
85130,175
85193,175
85194,175
85613,650
85615,650
85616,650
85635,650
85636,650
85650,650
85670,650
85224,175
85225,175
85226,175
85248,175
85249,175
85286,175
85339,175
85027,150
85046,150
85048,150
85050,150
85051,150
85053,150
85054,150
85060,150
85065,150
85080,150
85201,150
85202,150
85203,150
85204,150
85205,150
85206,150
85207,150
85208,150
85209,150
85210,150
85213,150
85215,150
85603,715
85614,500
85622,500
85337,335
85364,675
85349,750
85323,175
85392,175
85335,175
85233,175
85234,175
85295,175
85296,175
85297,175
85298,175
85338,200
85395,200
85340,200
85242,175
85345,175
85381,175
85382,175
85236,175
85351,175
85373,175
85379,200
85387,200
85376,200
85378,200
85388,200
85374,200
86301,390
86303,390
86304,390
86313,390
86001,590
85309,225
85355,150
85363,150
85353,150
85037,150
85039,150
85212,175
85607,750
85608,750
85655,750
85641,350
85701,350
85702,350
85703,350
85704,350
85705,350
85706,350
85707,350
85708,350
85709,350
85710,350
85714,350
85723,350
85726,350
85730,350
85745,350
85756,350
85775,350
85621,350
