zipcode,rate
85004,65.00
85006,65.00
85007,65.00
85008,65.00
85009,65.00
85012,65.00
85013,65.00
85014,85.00
85015,85.00
85016,85.00
85018,85.00
85021,95.00
85022,95.00
85023,95.00
85029,95.00
85031,95.00
85032,95.00
85034,65.00
85040,65.00
85042,65.00
85043,95.00
85044,95.00
85045,95.00
85281,65.00
85282,65.00
85283,65.00
85284,65.00
85287,65.00
85138,150.00
85139,200.00
85140,150.00
85142,120.00
85143,150.00
86401,500.00
86402,450.00
86409,450.00
85250,95.00
85251,95.00
85254,95.00
85255,120.00
85256,95.00
85257,85.00
85258,120.00
85259,120.00
85260,120.00
85301,120.00
85302,120.00
85303,120.00
85304,120.00
85305,120.00
85306,120.00
85307,120.00
85308,120.00
85309,120.00
85310,120.00
85253,120.00
85017,85.00
85019,85.00
85020,85.00
85024,120.00
85028,85.00
85033,85.00
85035,85.00
85039,65.00
85041,85.00
85122,120.00
85130,120.00
85193,225.00
85194,225.00
85613,420.00
85615,420.00
85616,400.00
85635,420.00
85636,420.00
85650,420.00
85670,420.00
85224,65.00
85225,85.00
85226,85.00
85248,85.00
85249,85.00
85286,85.00
85339,150.00
85027,120.00
85046,85.00
85048,85.00
85050,95.00
85051,95.00
85053,95.00
85054,95.00
85060,85.00
85065,65.00
85080,85.00
85201,85.00
85202,85.00
85203,85.00
85204,85.00
85205,85.00
85206,85.00
85207,120.00
85208,120.00
85209,120.00
85210,65.00
85213,120.00
85215,120.00
85603,420.00
85614,300.00
85622,300.00
85337,200.00
85364,420.00
85349,450.00
85323,120.00
85392,120.00
85335,120.00
85233,85.00
85234,85.00
85295,85.00
85296,85.00
85297,85.00
85298,85.00
85338,120.00
85395,120.00
85340,120.00
85242,65.00
85345,120.00
85381,120.00
85382,120.00
85236,120.00
85351,120.00
85373,120.00
85379,120.00
85387,150.00
85376,150.00
85378,150.00
85388,150.00
85374,150.00
86301,250.00
86303,250.00
86304,250.00
86313,250.00
86001,450.00
85309,150.00
85355,125.00
85363,125.00
85353,125.00
85037,125.00
85039,65.00
85212,95.00
85607,540.00
85608,525.00
85655,525.00
85641,250.00
85701,250.00
85702,250.00
85703,250.00
85704,250.00
85705,250.00
85706,250.00
85707,250.00
85708,250.00
85709,250.00
85710,250.00
85714,250.00
85723,250.00
85726,250.00
85730,250.00
85745,250.00
85756,250.00
85775,250.00
85621,420.00
